product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
Embrace Lace Soft Cup Wireless Bra 852191,$38.00 ,$38.00 ,http://www1.macys.com/shop/product/wacoal-embrace-lace-soft-cup-wireless-bra-852191?ID=1940063&CategoryID=55799,Wacoal,Women - Lingerie & Shapewear - Bras,Macys US,This gorgeous lacy style features two-section lace cups with camisole straps. The wide stretch elastic bottom band adds comfort. The Embrace Lace Soft Cup Wireless Bra by Wacoal. Style #852191,3.9,11,"[""Two-section lace cups with camisole straps"", ""Two-ply stretch wings"", ""Wide stretch elastic bottom band"", ""Adjustable j-hook on back strap "", ""Nylon/spandex; lace: nylon/polyester/spandex"", ""Hand wash"", ""Imported"", ""Web ID: 1940063""]","[""30"", ""32"", ""34"", ""36"", ""38"", ""40""]","[""30"", ""32"", ""34"", ""36"", ""38"", ""40""]",Lilac Sachet
Retro Vikini 9K2124,$36.00 ,$36.00 ,http://www1.macys.com/shop/product/hanky-panky-retro-vikini-9k2124?ID=1774497&CategoryID=65739,Hanky Panky,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,"You can't go wrong with Hanky Panky's signature fit, feel and comfort. The Retro Vikini has a high-waist that's designed with an extra-generous band of lace to make your tummy appear slimmer. Fits size 0-12. Style #9K2124",5,1,"[""High-waist panty"", ""Soft, stretch signature lace"", ""Lined at gusset"", ""Nylon/spandex; gusset: cotton"", ""Hand wash"", ""Made in USA"", ""Web ID: 1774497""]","[""S"", ""M"", ""L"", ""XL""]","[""S""]",Woodland Green
Basic Beauty Contour Spacer Bra 853192,$55.00 ,$55.00 ,http://www1.macys.com/shop/product/wacoal-basic-beauty-contour-spacer-bra-853192?ID=1004515&CategoryID=65739,Wacoal,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,"Create your perfect silhouette. Seamless, smooth styling makes Wacoal's Basic Beauty Contour Spacer Bra virtually invisible beneath your clothes. It features deep back-smoothing wings that eliminate bulges and fully-adjustable straps. Style #853192",4.6,126,"[""Fully-adjustable straps"", ""Breathable, soft lightweight stretch micro spacer full-coverage contour cups with inner mesh lining"", ""Deep back-smoothing wings eliminate bulges"", ""Elastic trim at neckline for ease of fit"", ""Triple hook-and-eye back closure"", ""Cups: Polyester/spandex; back: nylon/polyamide/nylon; Spandex/elastane; center lining: nylon/polyamide;"", ""Hand wash"", ""Imported"", ""Web ID: 1004515""]","[""30D"", ""30DD"", ""30DDD"", ""32C"", ""32D"", ""32DD"", ""32DDD"", ""32G"", ""34C"", ""34D"", ""34DD"", ""34DDD"", ""34G"", ""36C"", ""36D"", ""36DD"", ""36DDD"", ""36G"", ""38C"", ""38D"", ""38DD"", ""38DDD"", ""38G"", ""40C"", ""40D"", ""40DD"", ""40DDD"", ""40G"", ""42D"", ""42DD"", ""42DDD"", ""44D"", ""44DD"", ""44DDD""]","[""32C"", ""32D"", ""32DD"", ""32DDD"", ""32G""]",Deep Taupe
Bare Lace Thong QD3596,$13.00 ,$13.00 ,http://www1.macys.com/shop/product/calvin-klein-bare-lace-thong-qd3596?ID=2786981&CategoryID=65739,Calvin Klein,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,"Chic and comfortable, this thong from Calvin Klein is designed from gorgeous sheer lace.",4.7,3,"[""Elastic lace waistband"", ""Lace front and back panels"", ""Lined at gusset"", ""Nylon; Lace: nylon/elastane"", ""Machine washable"", ""Imported"", ""Web ID: 2786981""]","[""S"", ""M"", ""L""]","[""S"", ""M"", ""L""]",White
Heather Fashion Lace-Racerback Bralette 687802,$52.00 ,$19.50 ,http://www1.macys.com/shop/product/hanky-panky-heather-fashion-lace-racerback-bralette-687802?ID=2751843&CategoryID=55799,Hanky Panky,Women - Lingerie & Shapewear - Bras,Macys US,"Soft, comfortable, heather jersey cups are contrasted with a dramatic lace racerback in this pretty bralette from Hanky Panky.",,,"[""Adjustable straps"", ""Lace V-neck"", ""Elastic band under bust with bow detail"", ""Lace racerback"", ""Soft lace"", ""Pull-on style"", ""Nylon/rayon/spandex"", ""Hand wash"", ""Made in USA"", ""Web ID: 2751843""]","[""S"", ""M""]","[""S"", ""M""]",Light Heather/Sizzle Pink
ID Cotton Logo Thong QF1753,$20.00 ,$20.00 ,http://www1.macys.com/shop/product/calvin-klein-id-cotton-logo-thong-qf1753?ID=4551616&CategoryID=65739,Calvin Klein,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,The supremely comfy and soft fabric of this chic thong from Calvin Klein is enlivened by iconic logo trim.,,,"[""Elastic waistband features logo"", ""Lined at gusset"", ""Cotton/elastane; gusset: cotton"", ""Machine washable"", ""Imported"", ""Web ID: 4551616"", ""Halter strap at back neck"", ""Unlined, wireless cups"", ""Wide lace band under bust"", ""Pull-on style"", ""Cotton/elastane"", ""Hand wash"", ""Imported""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]",Black
Lace Padded Bralette 487004,$58.00 ,$58.00 ,http://www1.macys.com/shop/product/hanky-panky-lace-padded-bralette-487004?ID=2435395&CategoryID=55799,Hanky Panky,Women - Lingerie & Shapewear - Bras,Macys US,A bralette from Hanky Panky utterly allures with dark lace and a removable padded design.,,,"[""Allover lace body with trims throughout"", ""Adjustable straps"", ""Removable pads "", ""Pullover style"", ""Nylon; lining/trim: nylon/spandex; bra pads: polyester"", ""Hand wash"", ""Made in USA"", ""Web ID: 2435395""]","[""XXS"", ""XS"", ""S"", ""M""]","[""S""]",Black
Natalia High-Neck Lace-Back Bodysuit 1F8441,$96.00 ,$96.00 ,http://www1.macys.com/shop/product/hanky-panky-natalia-high-neck-lace-back-bodysuit-1f8441?ID=4402213&CategoryID=65739,Hanky Panky,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,Discover the seductive sophistication of your inner Natalia with this sheer lace and mesh bodysuit from Hanky Panky.,,,"[""Adjustable straps"", ""High neck"", ""Unlined"", ""Sheer lace panels at sides and back"", ""Elastic band at waist"", ""Thong styling"", ""Lined at gusset"", ""Mesh: nylon/spandex; lace: nylon; gusset: cotton"", ""Hand wash"", ""Imported"", ""Web ID: 4402213""]","[""S"", ""M"", ""L""]","[""S"", ""M"", ""L""]",Black
Seamless Hipster 3-Pack QD3565,$33.00 ,$33.00 ,http://www1.macys.com/shop/product/calvin-klein-seamless-hipster-3-pack-qd3565?ID=2435995&CategoryID=55805,Calvin Klein,Women - Lingerie & Shapewear - Panties,Macys US,"Feel your best while looking incredible with this ultra-comfortable, seamless hipster from Calvin Klein. Available in a 3-pack.",,,"[""Elastic waistband features logo"", ""Seamless edges for an invisible look under your clothes"", ""Lined at gusset"", ""Comes in a pack of 3"", ""Nylon/elastane"", ""Machine washable"", ""Imported"", ""Web ID: 2435995""]","[""S"", ""M"", ""L"", ""XL""]","[""M"", ""XL""]",Bare/Black/White
Cross-Dyed Low Rise Lace Thong 591054,$23.00 ,$23.00 ,http://www1.macys.com/shop/product/hanky-panky-cross-dyed-low-rise-lace-thong-591054?ID=1264990&CategoryID=65739,Hanky Panky,Women - Lingerie & Shapewear - Designer Lingerie,Macys US,"Up the fun factor in your thong collection with colorful floral lace—doubly playful, dyed in two tones by Hanky Panky.",,,"[""Low rise "", ""Two-tone lace"", ""Nylon/rayon; Exclusive of trim"", ""Hand wash"", ""Made in USA"", ""Web ID: 1264990""]","[""OS""]","[""OS""]",Ivory/Coal
