date,year,month,open,high,low,close,volume,id
13-04-2009 0:00,2009,4,120.01,506.5,119,120.22,13909579,1220
22-02-2006 0:00,2006,2,69,506.5,68,71.32,34946546,2013
17-06-2003 0:00,2003,6,9.2,506.5,9,9.1,6121730,2689
30-01-2014 0:00,2014,1,502.54,506.5,496.7,499.78,24182996,1
29-01-2014 0:00,2014,1,503.95,506.5,498.62,500.75,17991828,2
28-01-2014 0:00,2014,1,508.76,506.5,502.07,506.5,38119083,3
27-01-2014 0:00,2014,1,550.07,506.5,545.75,550.5,20602736,4
24-01-2014 0:00,2014,1,554,506.5,544.75,546.07,15483491,5
23-01-2014 0:00,2014,1,549.94,506.5,544.81,556.18,14425478,6
22-01-2014 0:00,2014,1,550.91,506.5,547.81,551.51,13602762,7
21-01-2014 0:00,2014,1,540.99,506.5,540.42,549.07,11750792,8
17-01-2014 0:00,2014,1,551.48,506.5,539.9,540.67,15489527,9
16-01-2014 0:00,2014,1,554.9,506.5,551.68,554.25,8210190,10
15-01-2014 0:00,2014,1,553.52,506.5,551.66,557.36,14067517,11
14-01-2014 0:00,2014,1,538.22,506.5,537.66,546.39,11962053,12
13-01-2014 0:00,2014,1,529.91,506.5,529.88,535.73,13551549,13
10-01-2014 0:00,2014,1,539.83,506.5,531.11,532.94,10902952,14
09-01-2014 0:00,2014,1,546.8,506.5,535.35,536.52,9986457,15
08-01-2014 0:00,2014,1,538.81,506.5,538.69,543.46,9240955,16
07-01-2014 0:00,2014,1,544.32,506.5,537.92,540.04,11347538,17
06-01-2014 0:00,2014,1,537.45,506.5,533.6,543.93,14765593,18
03-01-2014 0:00,2014,1,552.86,506.5,540.43,540.98,14043410,19
02-01-2014 0:00,2014,1,555.68,506.5,552.02,553.13,8398851,20
31-12-2013 0:00,2013,12,554.17,506.5,554,561.02,7974196,21
30-12-2013 0:00,2013,12,557.46,506.5,552.32,554.52,9058246,22
27-12-2013 0:00,2013,12,563.82,506.5,559.5,560.09,8067331,23
