id_guest,id_host,id_listing,ts_contact_at,ts_reply_at,ts_accepted_at,ts_booking_at,ds_checkin,ds_checkout,n_guests,n_messages
f54989cf-459b-409d-be6a-9534a53cc4a9,8d31dbce-fc8e-4c25-9f9b-758684a5941d,90d312e0-86a1-46b1-bb65-52eef939ca1f,07-10-2014 22:53,08-10-2014 11:22,,,03-11-2014 0:00,07-11-2014 0:00,1,4
2acf0e64-9da0-47c9-b0f9-1eceab379f84,498a28e2-6b3c-4759-9cf8-7c5a1ba7268f,dbbbdb7d-529a-425f-a847-2e298c3484e0,03-10-2014 16:23,04-10-2014 7:34,,,04-10-2014 0:00,06-10-2014 0:00,1,3
3c3ec192-acd7-4c91-8e82-18cff7d859ec,ee55912a-88a0-414d-aed7-7f15ce527232,71bca3ca-cbbf-4496-b35b-15dcc39552da,02-10-2014 12:38,03-10-2014 14:49,,,24-10-2014 0:00,26-10-2014 0:00,2,4
a03f86ca-5c44-4e66-8695-71c380cfc48b,45619500-e25e-41ce-add4-91420758203d,ae5a71d5-1434-4ee1-b81e-1745585596d6,10-10-2014 18:23,10-10-2014 19:16,,,11-10-2014 0:00,12-10-2014 0:00,1,4
20418fda-ffb2-46a3-9581-863725497c05,f89f3083-3ecf-431d-bd94-c6a390175796,c0a229e0-4712-4be1-91ff-53daeb0b73ae,09-12-2014 18:54,10-12-2014 9:49,,,13-03-2015 0:00,17-03-2015 0:00,3,4
5ed478e0-eae9-4537-826a-04ec779c1fd2,86b39b70-965b-479d-a0b0-719b195acea2,d2c8c59e-4d49-421b-9984-96957104862e,05-10-2014 19:23,05-10-2014 21:15,,,07-10-2014 0:00,21-12-2014 0:00,1,9
70180687-5888-4946-9578-83ab678cb997,ff4ee77c-3baa-49e4-9ee3-51add94b6b50,f242de54-802c-4f1f-b907-bf695163aa1f,07-10-2014 16:41,08-10-2014 20:44,,,02-11-2014 0:00,03-11-2014 0:00,1,8
9e5e2865-f257-4d19-9f79-9388ae925ad7,0749a8a5-9ced-42f7-94ba-f0b3a61928d6,fae2775e-024f-4c60-89b9-fd4d4119bba5,14-10-2014 22:54,15-10-2014 11:02,,,31-10-2014 0:00,01-11-2014 0:00,1,3
176a2fb8-1de3-483a-92a3-34a826a91f5a,78f31441-4c00-4c6f-b8fc-b163f0bc9878,6618cbda-eecf-48c6-ad94-dfe99248a7e5,09-10-2014 21:37,10-10-2014 0:30,,,07-11-2014 0:00,09-11-2014 0:00,2,5
67c4e87c-8a8f-4da4-a965-b89c9d74666b,82992868-442b-4c6e-8926-b2ec6724520e,e502da32-dfc6-4f40-bba2-80f326d7dbf7,21-09-2014 16:45,21-09-2014 16:52,,,05-12-2014 0:00,08-12-2014 0:00,2,2
