name,amg_movie_id,movie_title,role_type,rating,year,id
Richard Dreyfuss,V 576219,Very Good Girls,Normal Acting,7,2013,24752
Geoffrey Rush,V 576225,The Best Offer,Normal Acting,3,2013,25044
Geoffrey Rush,V 584977,The Book Thief,Normal Acting,4,2013,25045
Rosie Perez,V 558142,The Counselor,Normal Acting,3,2013,25217
Rosie Perez,V 554109,Won't Back Down,Normal Acting,4,2012,25221
Minnie Driver,V 574023,I Give It a Year,Normal Acting,5,2013,25428
Sissy Spacek,V 562264,Deadfall,Normal Acting,4,2012,25472
Whoopi Goldberg,V 524560,A Little Bit of Heaven,Normal Acting,1,2012,26767
Jane Fonda,V 559020,Lee Daniels' The Butler,Normal Acting,5,2013,26955
Emily Watson,V 578866,Some Girl(s),Normal Acting,4,2013,27489
Emily Watson,V 584977,The Book Thief,Normal Acting,4,2013,27490
Emily Watson,V 563490,Anna Karenina,Normal Acting,5,2012,27491
Rooney Mara,V 569831,Ain't Them Bodies Saints,Normal Acting,7,2013,27524
Rooney Mara,V 583087,Her,Normal Acting,8,2013,27525
Rooney Mara,V 555591,Side Effects,Normal Acting,5,2013,27526
Rooney Mara,V 575942,The Truth About Emanuel,Co-producer,4,2013,27527
Kristin Scott Thomas,V 551676,Only God Forgives,Normal Acting,3,2013,27537
Kristin Scott Thomas,V 582606,The Invisible Woman,Normal Acting,7,2013,27538
Kristin Scott Thomas,V 546598,Bel Ami,Normal Acting,3,2012,27539
Kristin Scott Thomas,V 569383,In the House,Normal Acting,8,2012,27540
Michelle Williams,V 527188,Oz the Great and Powerful,Normal Acting,6,2013,27671
Hugh Jackman,V 539852,Movie 43,Normal Acting,4,2013,27733
Hugh Jackman,V 572110,Prisoners,Normal Acting,6,2013,27734
Hugh Jackman,V 496814,The Wolverine,Normal Acting,6,2013,27735
Hugh Jackman,V 543275,Les Mis??rables,Normal Acting,5,2012,27738
Hugh Jackman,V 533218,Rise of the Guardians,Voice,7,2012,27739
Seymour Cassel,V 551558,The Secret Lives of Dorks,Normal Acting,3,2013,27825
Dianne Wiest,V 526217,Darling Companion,Normal Acting,5,2012,27969
Dianne Wiest,V 546950,The Odd Life of Timothy Green,Normal Acting,5,2012,27970
Patty McCormack,V 537713,The Master,Normal Acting,6,2012,28325
Daniel Day Lewis,V 530126,Lincoln,Normal Acting,7,2012,28808
Bruce Davison,V 570258,Saving Lincoln,Normal Acting,2,2012,28837
Bruce Davison,V 526401,The Lords of Salem,Normal Acting,4,2012,28839
Woody Harrelson,V 574814,Free Birds,Voice,7,2013,28994
Woody Harrelson,V 542494,Now You See Me,Normal Acting,5,2013,28996
Woody Harrelson,V 562459,Out of the Furnace,Normal Acting,5,2013,28997
Woody Harrelson,V 546935,The Hunger Games: Catching Fire,Normal Acting,7,2013,28998
Woody Harrelson,V 561556,Seven Psychopaths,Normal Acting,5,2012,29001
Woody Harrelson,V 483902,The Hunger Games,Normal Acting,7,2012,29002
Katharine Ross,V 568953,We Grew Wings,Voice,,2012,29723
Julie Walters,V 579265,One Chance,Normal Acting,4,2013,29770
Julie Walters,V 448230,Brave,Voice,7,2012,29772
Jennifer Tilly,V 551558,The Secret Lives of Dorks,Normal Acting,3,2013,29821
Jennifer Tilly,V 558383,30 Beats,Normal Acting,1,2012,29822
Melissa Leo,V 576067,Charlie Countryman,Normal Acting,2,2013,29919
Melissa Leo,V 495159,Oblivion,Normal Acting,5,2013,29920
Melissa Leo,V 567934,Olympus Has Fallen,Normal Acting,5,2013,29922
Melissa Leo,V 572110,Prisoners,Normal Acting,6,2013,29923
Melissa Leo,V 548633,Flight,Normal Acting,5,2012,29925
Melissa Leo,V 561750,Francine,Normal Acting,8,2012,29926
Melissa Leo,V 554757,Why Stop Now,Normal Acting,4,2012,29927
Maggie Smith,V 564621,Quartet,Normal Acting,6,2012,30070
Maggie Smith,V 541446,The Best Exotic Marigold Hotel,Normal Acting,6,2012,30071
Anne Hathaway,V 582385,Song One,Normal Acting,4,2014,30251
Anne Hathaway,V 582385,Song One,Producer,4,2014,30252
Anne Hathaway,V 576920,Girl Rising,Voice,5,2013,30253
Anne Hathaway,V 543275,Les Mis??rables,Normal Acting,5,2012,30254
Anne Hathaway,V 516322,The Dark Knight Rises,Normal Acting,6,2012,30255
Anne Hathaway,V 583913,The Lifeboat,Producer,,2015,30246
James Woods,V 566519,Jobs,Normal Acting,4,2013,30428
James Woods,V 564886,White House Down,Normal Acting,7,2013,30430
Russ Tamblyn,V 538627,Django Unchained,Normal Acting,5,2012,30633
Albert Brooks,V 532264,This Is 40,Normal Acting,5,2012,30714
James Cromwell,V 550342,Soldiers of Fortune,Normal Acting,1,2012,30796
James Cromwell,V 571134,Still Mine,Normal Acting,6,2012,30797
Viggo Mortensen,V 517397,On the Road,Normal Acting,5,2012,30925
Julie Christie,V 545862,The Company You Keep,Normal Acting,4,2012,31426
Russell Crowe,V 546958,Broken City,Normal Acting,4,2013,31485
Russell Crowe,V 527047,Man of Steel,Normal Acting,6,2013,31486
Russell Crowe,V 579557,Red Obsession,Voice,6,2013,31488
Russell Crowe,V 543275,Les Mis??rables,Normal Acting,5,2012,31489
Russell Crowe,V 532648,The Man With the Iron Fists,Normal Acting,5,2012,31490
Woody Allen,V 566234,Blue Jasmine,Director,3,2013,31532
Woody Allen,V 566234,Blue Jasmine,Screenwriter,3,2013,31533
Woody Allen,V 581610,The Unbelievers,Participant,2,2013,31536
Woody Allen,V 537879,To Rome With Love,Director,5,2012,31539
Woody Allen,V 537879,To Rome With Love,Normal Acting,5,2012,31542
Woody Allen,V 537879,To Rome With Love,Screenwriter,5,2012,31545
Kim Basinger,V 574175,Grudge Match,Normal Acting,2,2013,31769
Mariel Hemingway,V 576222,Running From Crazy,Participant,7,2013,31872
Rosemary Harris,V 522512,This Means War,Normal Acting,6,2012,31928
Javier Bardem,V 558142,The Counselor,Normal Acting,3,2013,31968
Javier Bardem,V 532632,Skyfall,Normal Acting,8,2012,31969
Javier Bardem,V 509894,To the Wonder,Normal Acting,7,2012,31970
Kathy Bates,V 524560,A Little Bit of Heaven,Normal Acting,1,2012,32022
Robert Vaughn,V 570104,Excuse Me for Living,Normal Acting,1,2012,32271
Elizabeth McGovern,V 562269,Cheerful Weather for the Wedding,Normal Acting,5,2012,32435
Bradley Cooper,V 569321,American Hustle,Normal Acting,7,2013,33006
Bradley Cooper,V 569321,American Hustle,Executive Producer,7,2013,33003
Bradley Cooper,V 560997,The Hangover Part III,Normal Acting,5,2013,33007
Bradley Cooper,V 553304,Hit & Run,Normal Acting,4,2012,33008
Bradley Cooper,V 548463,Silver Linings Playbook,Executive Producer,8,2012,33009
Bradley Cooper,V 548463,Silver Linings Playbook,Normal Acting,8,2012,33010
Bradley Cooper,V 541480,The Place Beyond the Pines,Normal Acting,6,2012,33011
Catherine Keener,V 554018,Captain Phillips,Normal Acting,7,2013,33202
Catherine Keener,V 585095,Enough Said,Normal Acting,6,2013,33203
Catherine Keener,V 501861,The Croods,Voice,3,2013,33204
Catherine Keener,V 570791,A Late Quartet,Normal Acting,6,2012,33205
Thomas Haden Church,V 587547,Lucky Them,Normal Acting,4,2013,33256
Thomas Haden Church,V 491527,John Carter,Normal Acting,3,2012,33257
John Hawkes,V 530126,Lincoln,Normal Acting,7,2012,33305
John Hawkes,V 554777,The Sessions,Normal Acting,7,2012,33307
Nicole Kidman,V 542493,Stoker,Normal Acting,5,2013,33377
Nicole Kidman,V 545198,The Paperboy,Normal Acting,3,2012,33380
Richard Jenkins,V 576017,A.C.O.D.,Normal Acting,5,2013,33657
Richard Jenkins,V 535239,Turbo,Voice,5,2013,33659
Richard Jenkins,V 564886,White House Down,Normal Acting,7,2013,33660
Richard Jenkins,V 526217,Darling Companion,Normal Acting,5,2012,33661
Richard Jenkins,V 546391,Jack Reacher,Normal Acting,5,2012,33662
Richard Jenkins,V 532213,Killing Them Softly,Normal Acting,4,2012,33664
Richard Jenkins,V 463538,The Cabin in the Woods,Normal Acting,7,2012,33665
Richard Jenkins,V 545862,The Company You Keep,Normal Acting,4,2012,33666
Paul Giamatti,V 547471,12 Years a Slave,Normal Acting,7,2013,33990
Paul Giamatti,V 584112,All Is Bright,Executive Producer,5,2013,33991
Paul Giamatti,V 584112,All Is Bright,Normal Acting,5,2013,33992
Paul Giamatti,V 576301,Parkland,Normal Acting,5,2013,33995
Paul Giamatti,V 556559,Romeo & Juliet,Normal Acting,5,2013,33996
Paul Giamatti,V 562710,Saving Mr. Banks,Normal Acting,6,2013,33997
Paul Giamatti,V 535239,Turbo,Voice,5,2013,33999
Paul Giamatti,V 532214,Cosmopolis,Normal Acting,3,2012,34000
Paul Giamatti,V 549660,John Dies at the End,Executive Producer,5,2012,34001
Paul Giamatti,V 549660,John Dies at the End,Normal Acting,5,2012,34002
Paul Giamatti,V 571064,"Love, Marilyn",Participant,4,2012,34003
Paul Giamatti,V 476995,Rock of Ages,Normal Acting,3,2012,34004
Keira Knightley,V 561867,Jack Ryan: Shadow Recruit,Normal Acting,6,2014,34347
Keira Knightley,V 563490,Anna Karenina,Normal Acting,5,2012,34352
Keira Knightley,V 554384,Seeking a Friend for the End of the World,Normal Acting,6,2012,34353
Octavia Spencer,V 575941,Fruitvale Station,Co-Executive Producer,7,2013,34383
Octavia Spencer,V 575941,Fruitvale Station,Normal Acting,7,2013,34384
Octavia Spencer,V 549522,Paradise,Normal Acting,3,2013,34385
Octavia Spencer,V 550480,Percy Jackson: Sea of Monsters,Voice,5,2013,34387
Octavia Spencer,V 554781,Smashed,Normal Acting,6,2012,34390
Barbara Hershey,V 557004,Insidious Chapter 2,Normal Acting,4,2013,34412
Nick Nolte,V 538327,Gangster Squad,Normal Acting,6,2013,34755
Nick Nolte,V 586095,Hateship Loveship,Normal Acting,4,2013,34756
Nick Nolte,V 537993,Parker,Normal Acting,5,2012,34757
Nick Nolte,V 545862,The Company You Keep,Normal Acting,4,2012,34758
Will Smith,V 537116,After Earth,Normal Acting,4,2013,34968
Will Smith,V 537116,After Earth,Producer,4,2013,34971
Will Smith,V 537116,After Earth,Screen Story,4,2013,34974
Will Smith,V 516998,Men in Black 3,Normal Acting,6,2012,34977
Will Smith,V 522512,This Means War,Producer,6,2012,34979
Will Smith,V 533219,Annie,Producer,,2014,34966
Vera Farmiga,V 561980,The Conjuring,Normal Acting,7,2013,35101
Vera Farmiga,V 528939,Safe House,Normal Acting,5,2012,35102
Terrence Howard,V 562416,Dead Man Down,Normal Acting,7,2013,35137
Terrence Howard,V 559020,Lee Daniels' The Butler,Normal Acting,5,2013,35139
Terrence Howard,V 539852,Movie 43,Normal Acting,4,2013,35140
Terrence Howard,V 572110,Prisoners,Normal Acting,6,2013,35141
Terrence Howard,V 582976,The Best Man Holiday,Normal Acting,5,2013,35143
Terrence Howard,V 485509,Red Tails,Normal Acting,4,2012,35145
Terrence Howard,V 545862,The Company You Keep,Normal Acting,4,2012,35146
Chris Cooper,V 570771,August: Osage County,Normal Acting,8,2013,35203
Chris Cooper,V 558330,Birders: The Central Park Effect,Participant,7,2012,35204
Terrence Howard,V 564760,Sabotage,Normal Acting,,2014,35136
Chris Cooper,V 571066,Mea Maxima Culpa: Silence in the House of God,Voice,6,2012,35205
Chris Cooper,V 545862,The Company You Keep,Normal Acting,4,2012,35206
Mark Ruffalo,V 542494,Now You See Me,Normal Acting,5,2013,35341
Mark Ruffalo,V 451151,Marvel's The Avengers,Normal Acting,8,2012,35343
Mark Ruffalo,V 571224,Thanks for Sharing,Normal Acting,5,2012,35346
Joan Cusack,V 551680,The Perks of Being a Wallflower,Normal Acting,7,2012,35393
Albert Finney,V 532632,Skyfall,Normal Acting,8,2012,35518
Albert Finney,V 433051,The Bourne Legacy,Normal Acting,5,2012,35519
Charlize Theron,V 495227,Prometheus,Normal Acting,5,2012,35583
Charlize Theron,V 528938,Snow White and the Huntsman,Normal Acting,3,2012,35584
Shirley MacLaine,V 545860,The Secret Life of Walter Mitty,Normal Acting,6,2013,35958
Michelle Pfeiffer,V 565944,The Family,Normal Acting,4,2013,36104
Michelle Pfeiffer,V 529187,Dark Shadows,Normal Acting,2,2012,36105
Michelle Pfeiffer,V 530507,People Like Us,Normal Acting,5,2012,36106
Matt Damon,V 503735,Elysium,Normal Acting,7,2013,36298
Matt Damon,V 570795,Promised Land,Normal Acting,6,2012,36301
Matt Damon,V 570795,Promised Land,Producer,6,2012,36302
Matt Damon,V 570795,Promised Land,Screenwriter,6,2012,36303
Jeff Bridges,V 347997,R.I.P.D.,Normal Acting,1,2013,36458
Eric Roberts,V 579473,Assault on Wall Street,Normal Acting,1,2013,36903
Eric Roberts,V 551575,Lovelace,Normal Acting,5,2013,36906
Eric Roberts,V 581871,The Hot Flashes,Normal Acting,3,2013,36911
Eric Roberts,V 576255,Wrong Cops,Normal Acting,2,2013,36915
Eric Roberts,V 556365,Deadline,Normal Acting,2,2012,36920
Quvenzhan_ Wallis,V 547471,12 Years a Slave,Normal Acting,7,2013,37084
Rita Moreno,V 571337,Rio 2,Voice,,2014,37459
Dustin Hoffman,V 564621,Quartet,Director,6,2012,37617
Dustin Hoffman,V 564621,Quartet,Executive Producer,6,2012,37618
Al Pacino,V 556976,Stand Up Guys,Normal Acting,6,2013,37706
Lily Tomlin,V 564038,Admission,Normal Acting,3,2013,37877
Salma Hayek,V 561747,$ellebrity,Participant,4,2012,38030
Salma Hayek,V 553901,As Luck Would Have It,Normal Acting,6,2012,38031
Salma Hayek,V 535127,Here Comes the Boom,Normal Acting,4,2012,38032
Salma Hayek,V 538360,Savages,Normal Acting,6,2012,38033
Salma Hayek,V 538915,The Pirates! Band of Misfits,Voice,7,2012,38034
Matt Dillon,V 546392,Girl Most Likely,Normal Acting,5,2013,38215
Matt Dillon,V 575128,Pawn Shop Chronicles,Normal Acting,3,2013,38216
Matt Dillon,V 581024,Sunlight Jr.,Normal Acting,6,2013,38217
Jane Alexander,V 585116,Last Love,Normal Acting,4,2013,38277
Michael Douglas,V 565940,Last Vegas,Normal Acting,4,2013,38622
Michael Douglas,V 499624,Haywire,Normal Acting,6,2012,38625
Jean Dujardin,V 563430,The Wolf of Wall Street,Normal Acting,7,2013,38718
Dean Stockwell,V 575944,C.O.G.,Normal Acting,5,2013,38980
Stephen Rea,V 497581,Underworld: Awakening,Normal Acting,3,2012,39140
Judy Davis,V 537879,To Rome With Love,Normal Acting,5,2012,39311
Gary Oldman,V 565338,Paranoia,Normal Acting,5,2013,39492
Gary Oldman,V 553724,Lawless,Normal Acting,5,2012,39493
Gary Oldman,V 516322,The Dark Knight Rises,Normal Acting,6,2012,39494
Denzel Washington,V 567038,2 Guns,Normal Acting,4,2013,39811
Denzel Washington,V 548633,Flight,Normal Acting,5,2012,39812
Denzel Washington,V 528939,Safe House,Executive Producer,5,2012,39813
Denzel Washington,V 528939,Safe House,Normal Acting,5,2012,39814
Annette Bening,V 546392,Girl Most Likely,Normal Acting,5,2013,40213
Annette Bening,V 570999,Ginger & Rosa,Normal Acting,6,2012,40216
Annette Bening,V 561661,Ruby Sparks,Normal Acting,5,2012,40217
Jennifer Connelly,V 571245,Stuck in Love,Normal Acting,5,2012,40254
Amy Ryan,V 557537,Escape Plan,Normal Acting,4,2013,40453
Amy Ryan,V 593157,Birdman,Normal Acting,,2014,40450
Robin Williams,V 559020,Lee Daniels' The Butler,Normal Acting,5,2013,40588
Robin Williams,V 546685,The Big Wedding,Normal Acting,4,2013,40590
William Hurt,V 538845,The Host,Normal Acting,3,2013,40738
William Hurt,V 575896,Fire in the Blood,Voice,6,2012,40739
Tom Conti,V 516322,The Dark Knight Rises,Normal Acting,6,2012,40879
Tatum O'Neal,V 532264,This Is 40,Normal Acting,5,2012,40930
Billy Bob Thornton,V 576301,Parkland,Normal Acting,5,2013,41554
Billy Bob Thornton,V 556296,Jayne Mansfield's Car,Director,4,2012,41556
Billy Bob Thornton,V 556296,Jayne Mansfield's Car,Normal Acting,4,2012,41557
Billy Bob Thornton,V 556296,Jayne Mansfield's Car,Screenwriter,4,2012,41558
Billy Bob Thornton,V 534069,The Baytown Outlaws,Normal Acting,2,2012,41559
Sharon Stone,V 551575,Lovelace,Normal Acting,5,2013,41647
Sally Field,V 530126,Lincoln,Normal Acting,7,2012,42267
Sally Field,V 423293,The Amazing Spider-Man,Normal Acting,4,2012,42268
Joaquin Phoenix,V 583087,Her,Normal Acting,8,2013,42429
Joaquin Phoenix,V 537713,The Master,Normal Acting,6,2012,42431
Julia Roberts,V 570771,August: Osage County,Normal Acting,8,2013,42841
Julia Roberts,V 533391,Mirror Mirror,Normal Acting,5,2012,42842
Hailee Steinfeld,V 551200,Ender's Game,Normal Acting,5,2013,42953
Hailee Steinfeld,V 586095,Hateship Loveship,Normal Acting,4,2013,42954
Hailee Steinfeld,V 556559,Romeo & Juliet,Normal Acting,5,2013,42955
Gabourey Sidibe,V 561556,Seven Psychopaths,Normal Acting,5,2012,42958
Jon Voight,V 567853,Getaway,Voice,4,2013,43015
Rinko Kikuchi,V 476861,47 Ronin,Normal Acting,4,2013,43217
Rinko Kikuchi,V 535242,Pacific Rim,Normal Acting,8,2013,43218
Robert Redford,V 570205,All Is Lost,Normal Acting,8,2013,43376
Robert Redford,V 569919,Bidder 70,Participant,5,2012,43377
Robert Redford,V 545862,The Company You Keep,Director,4,2012,43379
Robert Redford,V 545862,The Company You Keep,Normal Acting,4,2012,43380
Robert Redford,V 545862,The Company You Keep,Producer,4,2012,43381
Marion Cotillard,V 563524,Rust and Bone,Normal Acting,7,2012,43495
Marion Cotillard,V 516322,The Dark Knight Rises,Normal Acting,6,2012,43497
Christian Bale,V 569321,American Hustle,Normal Acting,7,2013,43844
Christian Bale,V 562459,Out of the Furnace,Normal Acting,5,2013,43846
Christian Bale,V 516322,The Dark Knight Rises,Normal Acting,6,2012,43847
Meryl Streep,V 570771,August: Osage County,Normal Acting,8,2013,43896
Meryl Streep,V 576920,Girl Rising,Voice,5,2013,43897
Meryl Streep,V 585987,The Good House,Normal Acting,,2015,43893
Vanessa Redgrave,V 559020,Lee Daniels' The Butler,Normal Acting,5,2013,44001
John Travolta,V 551420,Killing Season,Normal Acting,3,2013,44248
John Travolta,V 538360,Savages,Normal Acting,6,2012,44250
Amy Adams,V 569321,American Hustle,Normal Acting,7,2013,44573
Amy Adams,V 583087,Her,Normal Acting,8,2013,44575
Amy Adams,V 527047,Man of Steel,Normal Acting,6,2013,44577
Amy Adams,V 517397,On the Road,Normal Acting,5,2012,44579
Amy Adams,V 537713,The Master,Normal Acting,6,2012,44580
Amy Adams,V 550124,Trouble With the Curve,Normal Acting,4,2012,44581
Amy Adams,V 556305,Big Eyes,Normal Acting,,2014,44571
Tim Roth,V 555033,Arbitrage,Normal Acting,6,2012,44623
Tim Roth,V 565145,Broken,Normal Acting,5,2012,44624
Mare Winningham,V 582625,Philomena,Normal Acting,7,2013,45259
Mare Winningham,V 533391,Mirror Mirror,Normal Acting,5,2012,45261
Jude Law,V 555591,Side Effects,Normal Acting,5,2013,45437
Jude Law,V 563490,Anna Karenina,Normal Acting,5,2012,45438
Jude Law,V 533218,Rise of the Guardians,Voice,7,2012,45439
John Malkovich,V 551206,RED 2,Normal Acting,5,2013,45819
John Malkovich,V 536894,Warm Bodies,Normal Acting,7,2013,45820
John Malkovich,V 556048,Side by Side,Participant,7,2012,45823
John Malkovich,V 551680,The Perks of Being a Wallflower,Producer,7,2012,45824
David Strathairn,V 530126,Lincoln,Normal Acting,7,2012,45998
David Strathairn,V 433051,The Bourne Legacy,Normal Acting,5,2012,46001
"Cuba Gooding, Jr.",V 559020,Lee Daniels' The Butler,Normal Acting,5,2013,46567
"Cuba Gooding, Jr.",V 563549,Machete Kills,Normal Acting,7,2013,46569
"Cuba Gooding, Jr.",V 485509,Red Tails,Normal Acting,4,2012,46573
Jessica Lange,V 575372,In Secret,Normal Acting,4,2013,47005
Jessica Lange,V 528940,The Vow,Normal Acting,5,2012,47008
Nancy Olson,V 590268,Dumbbells,Normal Acting,2,2014,47098
Alfre Woodard,V 547471,12 Years a Slave,Normal Acting,7,2013,47542
Bob Hoskins,V 528938,Snow White and the Huntsman,Normal Acting,3,2012,47797
Ned Beatty,V 576836,Baggage Claim,Normal Acting,3,2013,47950
David Paymer,V 561867,Jack Ryan: Shadow Recruit,Normal Acting,6,2014,48223
David Paymer,V 539495,The Five-Year Engagement,Normal Acting,7,2012,48225
David Paymer,V 544433,Twixt,Normal Acting,4,2012,48226
Kevin Costner,V 561867,Jack Ryan: Shadow Recruit,Normal Acting,6,2014,48389
Kevin Costner,V 527047,Man of Steel,Normal Acting,6,2013,48392
Mary Steenburgen,V 565940,Last Vegas,Normal Acting,4,2013,48489
Elliott Gould,V 586731,Live at the Foxes Den,Normal Acting,2,2013,48774
Elliott Gould,V 561661,Ruby Sparks,Normal Acting,5,2012,48777
Rachel Griffiths,V 562710,Saving Mr. Banks,Normal Acting,6,2013,48965
Rachel Griffiths,V 570915,Underground: The Julian Assange Story,Normal Acting,5,2012,48966
Taraji P. Henson,V 539272,Think Like a Man,Normal Acting,6,2012,49051
Edward Norton,V 579425,Salinger,Participant,6,2013,49381
Edward Norton,V 538719,Moonrise Kingdom,Normal Acting,5,2012,49382
Edward Norton,V 571224,Thanks for Sharing,Executive Producer,5,2012,49383
Edward Norton,V 433051,The Bourne Legacy,Normal Acting,5,2012,49384
Edward Norton,V 593157,Birdman,Normal Acting,,2014,49379
Tim Robbins,V 574788,Back to 1942,Normal Acting,3,2012,49801
Tim Robbins,V 571224,Thanks for Sharing,Normal Acting,5,2012,49802
Nicolas Cage,V 573550,Joe,Normal Acting,6,2013,50243
Nicolas Cage,V 501861,The Croods,Voice,3,2013,50244
Nicolas Cage,V 578437,The Frozen Ground,Normal Acting,3,2013,50245
Nicolas Cage,V 453137,A Thousand Words,Producer,1,2012,50246
Nicolas Cage,V 525865,Ghost Rider: Spirit of Vengeance,Normal Acting,3,2012,50247
Virginia Madsen,V 581871,The Hot Flashes,Normal Acting,3,2013,50333
Virginia Madsen,V 557520,The Magic of Belle Isle,Normal Acting,4,2012,50336
John Hurt,V 576067,Charlie Countryman,Voice,2,2013,50869
John Hurt,V 581556,Only Lovers Left Alive,Normal Acting,5,2013,50871
John Hurt,V 556296,Jayne Mansfield's Car,Normal Acting,4,2012,50873
John Hurt,V 570638,More Than Honey,Voice,6,2012,50874
Naomi Watts,V 568070,Diana,Normal Acting,3,2013,51147
Naomi Watts,V 539852,Movie 43,Normal Acting,4,2013,51148
Naomi Watts,V 581024,Sunlight Jr.,Normal Acting,6,2013,51149
Naomi Watts,V 576220,Adore,Executive Producer,3,2012,51150
Naomi Watts,V 576220,Adore,Normal Acting,3,2012,51151
Naomi Watts,V 555923,The Impossible,Normal Acting,7,2012,51152
Michael Shannon,V 527047,Man of Steel,Normal Acting,6,2013,51603
Michael Shannon,V 547384,Mud,Normal Acting,7,2012,51605
Michael Shannon,V 523759,Premium Rush,Normal Acting,6,2012,51606
Michael Shannon,V 570515,The Iceman,Normal Acting,4,2012,51607
Michael Shannon,V 532988,The Raven,Normal Acting,3,2012,51608
Laurence Fishburne,V 484687,Ride Along,Normal Acting,3,2014,51644
Laurence Fishburne,V 574215,Khumba,Voice,4,2013,51647
Laurence Fishburne,V 527047,Man of Steel,Normal Acting,6,2013,51648
Laurence Fishburne,V 579278,The Colony,Normal Acting,4,2013,51650
Jeremy Renner,V 569321,American Hustle,Normal Acting,7,2013,51779
Jeremy Renner,V 532211,Hansel & Gretel: Witch Hunters,Normal Acting,4,2013,51781
Jeremy Renner,V 516738,Ice Age: Continental Drift,Voice,4,2012,51784
Jeremy Renner,V 451151,Marvel's The Avengers,Normal Acting,8,2012,51786
Jeremy Renner,V 433051,The Bourne Legacy,Normal Acting,5,2012,51789
Anthony Hopkins,V 551206,RED 2,Normal Acting,5,2013,51814
Anthony Hopkins,V 546686,Thor: The Dark World,Normal Acting,7,2013,51815
Anthony Hopkins,V 415854,Hitchcock,Normal Acting,6,2012,51818
Edward James Olmos,V 567038,2 Guns,Normal Acting,4,2013,51934
Edward James Olmos,V 578505,Go for Sisters,Normal Acting,5,2013,51935
Edward James Olmos,V 578505,Go for Sisters,Producer,5,2013,51936
Edward James Olmos,V 555068,Filly Brown,Executive Producer,5,2012,51937
Edward James Olmos,V 555068,Filly Brown,Normal Acting,5,2012,51938
Amy Madigan,V 575937,The Lifeguard,Normal Acting,3,2013,52066
Amy Madigan,V 562121,Future Weather,Normal Acting,6,2012,52067
Amy Madigan,V 576221,Sweetwater,Normal Acting,5,2012,52068
Diane Lane,V 527047,Man of Steel,Normal Acting,6,2013,52180
Abigail Breslin,V 570771,August: Osage County,Normal Acting,8,2013,52350
Abigail Breslin,V 551200,Ender's Game,Normal Acting,5,2013,52351
Abigail Breslin,V 578500,Haunter,Normal Acting,4,2013,52352
Abigail Breslin,V 574290,The Call,Normal Acting,6,2013,52353
Linda Blair,V 563174,An Affair of the Heart,Participant,5,2012,52435
Frances McDormand,V 490274,Madagascar 3: Europe's Most Wanted,Voice,5,2012,52850
Frances McDormand,V 538719,Moonrise Kingdom,Normal Acting,5,2012,52851
Frances McDormand,V 570795,Promised Land,Normal Acting,6,2012,52852
John C. Reilly,V 537176,Wreck-It Ralph,Voice,6,2012,52896
Stockard Channing,V 586642,Pulling Strings,Normal Acting,5,2013,52957
Juliette Lewis,V 570771,August: Osage County,Normal Acting,8,2013,53061
F. Murray Abraham,V 562416,Dead Man Down,Normal Acting,7,2013,53396
F. Murray Abraham,V 548393,Inside Llewyn Davis,Normal Acting,6,2013,53398
Jake Gyllenhaal,V 572110,Prisoners,Normal Acting,6,2013,53530
Jake Gyllenhaal,V 559767,End of Watch,Executive Producer,5,2012,53531
Jake Gyllenhaal,V 559767,End of Watch,Normal Acting,5,2012,53532
Leonardo DiCaprio,V 562459,Out of the Furnace,Producer,5,2013,53680
Leonardo DiCaprio,V 563185,Runner Runner,Producer,4,2013,53681
Leonardo DiCaprio,V 538176,The Great Gatsby,Normal Acting,8,2013,53682
Leonardo DiCaprio,V 563430,The Wolf of Wall Street,Normal Acting,7,2013,53683
Leonardo DiCaprio,V 563430,The Wolf of Wall Street,Producer,7,2013,53684
Leonardo DiCaprio,V 538627,Django Unchained,Normal Acting,5,2012,53685
Glenn Close,V 571064,"Love, Marilyn",Participant,4,2012,53824
Sophie Okonedo,V 537116,After Earth,Normal Acting,4,2013,53951
Marianne Jean-Baptiste,V 554109,Won't Back Down,Normal Acting,4,2012,54144
Maggie Gyllenhaal,V 564886,White House Down,Normal Acting,7,2013,54285
Maggie Gyllenhaal,V 554109,Won't Back Down,Normal Acting,4,2012,54287
Sylvester Stallone,V 538046,Bullet to the Head,Normal Acting,5,2013,54333
Sylvester Stallone,V 557537,Escape Plan,Normal Acting,4,2013,54334
Sylvester Stallone,V 574175,Grudge Match,Normal Acting,2,2013,54335
Sylvester Stallone,V 569893,Homefront,Producer,5,2013,54336
Sylvester Stallone,V 569893,Homefront,Screenwriter,5,2013,54337
Sylvester Stallone,V 537085,The Expendables 2,Normal Acting,6,2012,54338
Sylvester Stallone,V 537085,The Expendables 2,Screenwriter,6,2012,54339
Ian Holm,V 427365,The Hobbit: An Unexpected Journey,Normal Acting,6,2012,54450
Daniel Day-Lewis,V 530126,Lincoln,Normal Acting,7,2012,54702
Robert Forster,V 567934,Olympus Has Fallen,Normal Acting,5,2013,54726
Robert Forster,V 572383,Hotel Noir,Normal Acting,3,2012,54728
Cate Blanchett,V 566234,Blue Jasmine,Normal Acting,3,2013,54852
Cate Blanchett,V 576920,Girl Rising,Voice,5,2013,54853
Cate Blanchett,V 427369,The Hobbit: The Desolation of Smaug,Normal Acting,5,2013,54856
Cate Blanchett,V 427365,The Hobbit: An Unexpected Journey,Normal Acting,6,2012,54859
