name,amg_movie_id,movie_title,role_type,rating,year,id
Anne Bancroft,V 576222,Running From Crazy,Archival Appearance,7,2013,5596
Marcia Gay Harden,V 576301,Parkland,Normal Acting,5,2013,5987
Mickey Rourke,V 586368,Generation Iron,Voice,6,2013,6092
Mickey Rourke,V 577408,Java Heat,Normal Acting,2,2013,6093
Ryan Gosling,V 538327,Gangster Squad,Normal Acting,6,2013,6207
Ryan Gosling,V 551676,Only God Forgives,Associate Producer,3,2013,6211
Ryan Gosling,V 551676,Only God Forgives,Executive Producer,3,2013,6212
Ryan Gosling,V 551676,Only God Forgives,Normal Acting,3,2013,6213
Ryan Gosling,V 541480,The Place Beyond the Pines,Normal Acting,6,2012,6214
Anna Paquin,V 592747,Free Ride,Normal Acting,3,2013,6239
Anna Paquin,V 592747,Free Ride,Producer,3,2013,6240
Jessica Chastain,V 566255,Mama,Normal Acting,5,2013,6359
Jessica Chastain,V 553724,Lawless,Normal Acting,5,2012,6363
Jessica Chastain,V 490274,Madagascar 3: Europe's Most Wanted,Voice,5,2012,6364
Jessica Chastain,V 538914,Zero Dark Thirty,Normal Acting,6,2012,6366
Jessica Chastain,V 575442,Crimson Peak,Normal Acting,,2014,6357
James Caan,V 560885,Cloudy With a Chance of Meatballs 2,Voice,7,2013,6775
James Caan,V 535472,That's My Boy,Normal Acting,4,2012,6780
Harrison Ford,V 541451,42,Normal Acting,5,2013,6882
Harrison Ford,V 561849,Anchorman 2: The Legend Continues,Normal Acting,7,2013,6883
Harrison Ford,V 585455,Drew: The Man Behind the Poster,Participant,5,2013,6884
Harrison Ford,V 551200,Ender's Game,Normal Acting,5,2013,6885
Harrison Ford,V 565338,Paranoia,Normal Acting,5,2013,6886
Alec Baldwin,V 566234,Blue Jasmine,Normal Acting,3,2013,7121
Alec Baldwin,V 581828,Seduced and Abandoned,Participant,7,2013,7124
Alec Baldwin,V 533218,Rise of the Guardians,Archival Appearance,7,2012,7128
Alec Baldwin,V 476995,Rock of Ages,Normal Acting,3,2012,7129
