product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
Satin High Waisted Knickers, $22.00, $22.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/bralet-and-knickers-set-6656590,US TOPSHOP,Lingerie,Topshop US,"Bralet and knickers set. 96% Polyester, 4% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","2,4,6,8,10",
Varsity Thong by Tommy Hilfiger, $28.00, $28.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/varsity-thong-by-tommy-hilfiger-6764677,US TOPSHOP,Lingerie,Topshop US,"Navy blue varsity thong by Tommy Hilfiger. 76% Polyamide, 19% Elastane, 5% Viscose. Machine wash.",NULL,NULL,NULL,"XS,S,M,L","S,M,L",NAVY BLUE
Floral Microfibre Knickers, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/floral-microfibre-ladypant-6784205,US TOPSHOP,Lingerie,Topshop US,"These microfibre knickers come in a pastel floral print with elegant lace trims and a cute pink bow applique at the front. 89% Polyamide, 11% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",CORAL
Contrast Elastic Lace Thong, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/contrast-elastic-lace-thong-6685433,US TOPSHOP,Lingerie,Topshop US,"In bright pink, this lace thong comes with contrast elastic to the edges. 88% Polyamide, 12% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",Bright Pink
MATERNITY Criss Cross Bra, $38.00, $38.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/maternity-criss-cross-bra-6234139,US TOPSHOP,Lingerie,Topshop US,"Balancing comfort and support, this criss cross bra in white for maternity is the perfect update for your under layer. Pair with the matching criss cross knickers for a polished co-ord. 78% Polyamide, 22% Elastane. Machine wash.",NULL,NULL,NULL,"34B,34C,34D,34DD,36B,36C,36D,36DD","34B,34C,34D,34DD,36B,36C",WHITE
MATERNITY Lace and Mesh Mini Panties, $15.00, $8.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/maternity-lace-and-mesh-mini-panties-6696698,US TOPSHOP,Lingerie,Topshop US,"Keep comfy throughout your pregnancy in these Maternity stretchy lace and mesh panties. 90% Polyamide, 10% Elastane. Machine wash.",NULL,NULL,NULL,"4,6,8,10,12","4,6,8,10,12",Ivory
Bikini Knickers by Tommy Hilfiger, $28.00, $28.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/bikini-knickers-by-tommy-hilfiger-6531803,US TOPSHOP,Lingerie,Topshop US,"Look to an iconic brand to elevate your under layers. These navy blue knickers by Tommy Hilfiger feature the label’s iconic branding to the waistband. Matches with bralet. 94% Cotton, 6% Elastane. Machine wash.",NULL,NULL,NULL,"XS,S,M,L,XL","S,M,XL",NAVY BLUE
Bralet by Dora Larsen, $110.00, $110.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/bralet-bikini-knickers-set-by-dora-larsen-6608952,US TOPSHOP,Lingerie,Topshop US,"Peckham-based lingerie brand Dora Larsen has created an intricate underwear collection devoted to the art of colour combinations. This gorgeous bra and bikini knickers come in a lavender mesh, complete with orchid elastic and orange lace detail. 85% Nylon, 15% Elastane. Machine wash.",NULL,NULL,NULL,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36B,36C","32A,32B,32C,32D,32DD,34A,34B,34C,34D,36C",
Fishnet Bodysuit, $38.00, $38.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/fishnet-bodysuit-6764117,US TOPSHOP,Lingerie,Topshop US,"Wear your underwear as outerwear with our edgy fishnet bodysuit. Great for teaming with high-waisted skirts and shorts, this sheer black sleeveless style features a scoop neckline, a solid insert of fabric on the chest and a subtle cutaway detail. 89% Polyester, 11% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12,14","2,4,6,8,10,14",BLACK
Lace Underwired Bra, $35.00 Now $10.00, $35.00 Now $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/lace-lingerie-set-6376081,US TOPSHOP,Lingerie,Topshop US,"Lace lingerie set featuring underwired bra and semi-sheer lace thong. 89% Nylon,11% Elastane. Machine wash.",NULL,NULL,NULL,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","32A,32B,32C,32D,34A,34B,34C,34D,36B",
Floral Lace Thong, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/floral-lace-thong-5718670,US TOPSHOP,Lingerie,Topshop US,"Keep slinky silhouettes seam-free with this lace thong underneath. A semi-sheer style with a low rise waist. 89% Polyamide, 11% Elastane. Machine wash.",3,1,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",BLACK
Pretty Lace Padded Bralet, $30.00 Now $20.00, $30.00 Now $20.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/pretty-lace-lingerie-set-6277556,US TOPSHOP,Lingerie,Topshop US,"Delicate floral lace is the focus of this pretty lingerie set Bralet comes with padded cups for a supported, natural shape, and knickers in a semi-sheer style with a low-rise fit. 89% Nylon,11% Elastane. Machine wash",NULL,NULL,NULL,"2,4,6,8,10,12","6,12",
Marble Print Triangle Bra, $38.00, $38.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/marble-print-triangle-bra-mini-knickers-set-6616994,US TOPSHOP,Lingerie,Topshop US,"From their novel marble print and sporty underband, this comfy non-padded triangle bra and matching mini knickers set will update your lingerie draw. 86% Polyester, 14% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",
Yasallie Mini Knickers by Y.A.S, $22.00, $22.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/yasallie-mini-knickers-by-yas-6582953,US TOPSHOP,Lingerie,Topshop US,"Black mini knickers by Y.A.S. 90% Polyamide, 10% Elastane. Machine wash.",NULL,NULL,NULL,"XS,S,M,L,XL","M,XL",BLACK
Marble Print Mini Knickers, $20.00, $20.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/marble-print-triangle-bra-mini-knickers-set-6616994,US TOPSHOP,Lingerie,Topshop US,"From their novel marble print and sporty underband, this comfy non-padded triangle bra and matching mini knickers set will update your lingerie draw. 86% Polyester, 14% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",
Pretty Lace Brazillian Knickers, $8.00, $8.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/pretty-lace-brazillian-knickers-6761122,US TOPSHOP,Lingerie,Topshop US,"Low-rise Brazilian knickers with scallop edges and an elastic-free leg line for a seamless finish. 79% Polyamide, 21% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","8,10,12",Blush
MATERNITY Geometric Mesh Bra, $40.00, $40.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/maternity-geometric-mesh-bra-6732219,US TOPSHOP,Lingerie,Topshop US,"This black mesh maternity bra comes in a geometric detail with a contrast underband and plunge front. 81% Polyester, 19% Elastane. Machine wash.",NULL,NULL,NULL,"34B,34C,34D,34DD,36B,36C,36D,36DD","34B,34C,34D,34DD,36B,36C,36D,36DD",BLACK
Floral Lace Thong, $20.00, $20.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/floral-lace-thong-6156729,US TOPSHOP,Lingerie,Topshop US,"In an appealing burnt orange tint, this low rise floral lace thong will add colour to your lingerie draw. 90% Polyamide, 10% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",BURNT ORANGE
Topshop Branded Mini Knickers, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/topshop-branded-mini-6790557,US TOPSHOP,Lingerie,Topshop US,"Boasting a 'Topshop' branded waistband, these Rose Pink mini knickers are an essential basic. 93% Cotton, 7% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12,14","2,4,6,8,10,12",ROSE
Flamingo Print Pants, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/flamingo-print-pants-6765355,US TOPSHOP,Lingerie,Topshop US,"Multicoloured flamingo print ladypant. 86% Polyamide, 14% Elastane. Machine wash.",5,1,NULL,"2,4,6,8,10,12","2,4,6,8,10",MULTI
Pretty Lace Thong, $10.00, $4.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/pretty-lace-thong-6155255,US TOPSHOP,Lingerie,Topshop US,"Keep fitted silhouettes seam-free with this pretty lace thong underneath. A semi-sheer style with a low rise fit. 89% Nylon,11% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","6,12",CORAL
Cotton Tanga Mini Knickers, $20.00, $20.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/cotton-tanga-mini-knickers-6616647,US TOPSHOP,Lingerie,Topshop US,White cotton mini knickers with tanga sides. 100% Cotton. Machine wash.,NULL,NULL,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",WHITE
MATERNITY Lace And Mesh Mini Panties, $15.00, $15.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/maternity-lace-and-mesh-mini-panties-5408053,US TOPSHOP,Lingerie,Topshop US,"These pretty maternity panties come in a soft lace mesh finish, detailed with a sweet bow trim. 90% Polyamide, 10% Elastane. Machine wash.",NULL,NULL,NULL,"4,6,8,10,12","4,6,8,10,12",Pale Pink
Colour Block Cross Back Bra by Ivy Park, $45.00, $45.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/colour-block-cross-back-bra-by-ivy-park-6642164,US TOPSHOP,Lingerie,Topshop US,"In a striking colour-block design with a tonal logo waistband, this Ivy Park sports bra is so good your can wear it as outerwear. This mid-impact style is made from breathable, quick-drying fabric that wicks sweat away from the body - you'll feel fresh and comfortable throughout your workout. It's complete with a power mesh lining, crossover straps and open back detail. 79% Polyester, 21% Elastane. Machine wash.",NULL,NULL,NULL,"XXS,XS,S,M,L,XL","XXS,XS,S,M,XL",MULTI
Pretty Lace Brazilian Knickers, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/pretty-lace-brazilian-knickers-6764094,US TOPSHOP,Lingerie,Topshop US,"Black lace Brazilian knickers. 88% Polyamide, 12% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","2,4,6,8,10,12",BLACK
Modern Cotton Bikini Briefs by Calvin Klein, $35.00, $35.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/modern-cotton-bikini-briefs-by-calvin-klein-4249454,US TOPSHOP,Lingerie,Topshop US,"Modern cotton bikini briefs by Calvin Klein Underwear. 53% Cotton, 35% Modal, 12% Elastane. Machine wash.",NULL,NULL,NULL,"XS,S,M,L,XL","M,L",GREY MARL
You Can't Sit With us Boypants, $10.00, $4.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/you-cant-sit-with-us-boypants-6500608,US TOPSHOP,Lingerie,Topshop US,"Keep it cute in these Mean Girls-inspired low-rise boypants with good coverage. 95% Cotton, 5% Elastane. Machine wash.",NULL,NULL,NULL,"2,4,6,8,10,12","4,6,10,12",pink
