product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
Hanky Panky Women's Vikini Panty,$30.00 ,$30.00 ,https://www.amazon.com/-/dp/B00B4T3CBA?th=1&psc=1,Hanky-Panky,Panties,Amazon US,"Hanky Panky's revolutionarily flattering V-front, V-back waistband-our signature design for over 25 years.",4,46,"[ This adorable V-kini provides moderate coverage , Comfy, seamless waistband disappears under clothes , 5'' low rise; measurement taken from size Medium , Soft, stretch signature lace with cotton panel ]","XS, S, M, L, XL, 1X, 2X, 3X , Small , Medium , Large , X-Large","Small , Medium , Large",Marshmallow
Wacoal Women's Halo Underwire Bra,$48.00 ,$48.00 ,https://www.amazon.com/-/dp/B00JRSQBX6?th=1&psc=1,Wacoal,Bras,Amazon US,Beautiful all over cross-dye soft lace cups and wings.,4.4,383,"[ 82% Nylon, 18% Spandex , Imported , Hook and Eye closure , Hand Wash , Lace underwire bra featuring adjustable convertible straps that can be worn over shoulders or as racerback , Strap width increases with larger cup size , Inner support sling for DDD and G cup sizes ,J-hook on back strap allows for racerback option,Hook-and-eye closure at back]","32C , 32D , 32DD , 32DDD , 32G , 34B , 34C , 34D , 34DD , 34DDD , 34G , 36B , 36C , 36D , 36DD , 36DDD , 36G , 38B , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD , 40DDD","32C , 32D , 32DD , 32DDD , 32G , 34B , 34C , 34D , 34DD , 34DDD , 34G , 36B , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD , 40DDD",Black
Wacoal Women's Basic Beauty Contour Bra,$55.00 ,$55.00 ,https://www.amazon.com/-/dp/B01M5GE099?th=1&psc=1,Wacoal,Bras,Amazon US,Basic beauty contour bra with breathable soft lightweight stretch micro spacer cups,4,2,"[ Cup: 85% Polyester, 15% Spandex , Imported , Hand Wash , Full coverage cup with inner mesh sling , Build up front strap lined for support , Kicked in back keeps straps in place , Deep back eliminates bulges , Adjustable low stretch strap ]","32C , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DD , 40DDD , 42D , 42DD","32C , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DD , 40DDD , 42D , 42DD",Cashmere Rose
Wacoal Women's Retro Chic Underwire Bra,$60.00 ,$60.00 ,https://www.amazon.com/-/dp/B003XCO7YC?th=1&psc=1,Wacoal,Bras,Amazon US,Beautiful low plunge chantilly lace bra with superior support. |Beautiful low plunge chantilly lace bra,4.5,725,"[ 82% Nylon/ 18% Spandex/Elastane , Imported , Hook and Eye closure , Hand Wash , Full-coverage bra featuring lace cups with mesh yoke , Band and sides smooth and minimize bulge , Seamed cups for superior lift, shape, and support , Leotard back ]","30B , 32B , 32C , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 34I , 36C , 36D , 36DD , 36DDD , 36G , 36H , 36I , 38C , 38D , 38DD , 38DDD , 38G , 38H , 38I , 40C , 40D , 40DD , 40DDD , 40G , 40H , 40I , 42D , 42DD , 42DDD , 42G , 42H , 44D , 44DD , 44DDD , 44G , 44H , 46D , 46DD , 46DDD , 46G , 46H , 48H","30B , 32B , 32C , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34I , 36C , 36D , 36DD , 36DDD , 36G , 36H , 36I , 38C , 38D , 38DD , 38DDD , 38G , 38H , 38I , 40C , 40D , 40DD , 40DDD , 40G , 40H , 40I , 42D , 42DD , 42DDD , 42G , 42H , 44D , 44DD , 44DDD , 44G , 44H , 46D , 46DD , 46DDD , 46G , 48H",Black
Wacoal Women's How Perfect Soft Cup Bra,$60.00 ,$51.52 ,https://www.amazon.com/-/dp/B01N6HGFEZ?th=1&psc=1,Wacoal,Bras,Amazon US,How Perfect Soft Cup is super soft and comfortable.,4.2,158,"[ Body: 81% Nylon, 19% Spandex , Imported , Hand Wash , Clean tailored finishes at neckline and underarm , Adjustable stretch back strap , Smooth leotard back ]","30B , 30C , 30D , 30DD , 30DDD , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 40B","32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 38C , 38D",Blue Heron
Wacoal Women's Body By Wacoal Underwire Bra,$46.00 ,$43.00 ,https://www.amazon.com/-/dp/B0066646MK?th=1&psc=1,Wacoal,Bras,Amazon US,Body by wacoal seamless underwire is sleek and modern,4.4,279,"[ Body: 87% SUPPLEX Fabric Nylon, 13% Spandex Center Front; Top Cup: 100% Nylon , Imported , Hand Wash , Contour bra with underwire support and mesh insets;Camisole straps design with adjustments at back ]","32C , 32D , 32DD , 34B , 34C , 34D , 34DD , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD","32D , 32DD , 34B , 34C , 34D , 34DD , 36B , 36D , 38B , 38C , 38D , 38DD",White
Wacoal Women's How Perfect Soft Cup Bra,$60.00 ,$60.00 ,https://www.amazon.com/-/dp/B00ND2Y0U8?th=1&psc=1,Wacoal,Bras,Amazon US,How Perfect Soft Cup is super soft and comfortable.,4.1,136,"[ 81% Nylon, 19% Spandex , Imported , Hook and Eye closure , Hand Wash , Clean tailored finishes at neckline and underarm , Adjustable stretch back strap , Smooth leotard back ]","30B , 30C , 30D , 30DD , 30DDD , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 40B","30C , 30D , 30DD , 30DDD , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 40B",Natural Nude
Wacoal Women's Retro Chic Contour Bra,$65.00 ,$65.00 ,https://www.amazon.com/-/dp/B01GTNIU4Y?th=1&psc=1,Wacoal,Bras,Amazon US,Seamless full coverage molded underwire with supportive spacer cups,4.2,107,"[ 90% Polyester, 10% Spandex , Imported , Hand Wash , Full coverage seamless underwire T-shirt bra , Supportive spacer fabric in cups , Kicked in back restricted stretch straps with back release , Lace side sling ]","32D , 32DD , 32DDD , 32G , 32H , 34D , 34DD , 34DDD , 34G , 34H , 36D , 36DD , 36DDD , 36G , 36H , 38D , 38DD , 38DDD , 38G , 40D , 40DD , 40DDD , 40G , 40H , 42D , 42DD , 42DDD , 44D , 44DD , 44DDD","32D , 32DDD , 34G , 36D , 36DD , 36DDD , 36G , 36H , 38D , 38DD , 38DDD , 38G , 40D , 40DD , 40DDD , 40G , 42DD , 42DDD , 44D , 44DD , 44DDD",Almond Blossom
Wacoal Women's Halo Strapless Bra,$46.00 ,$46.00 ,https://www.amazon.com/-/dp/B015T8KHFA?th=1&psc=1,Wacoal,Bras,Amazon US,Fashionable halo molded lace strapless bandeau underwire bra for day or evening wear,4.2,164,"[ 82% Nylon, 18% Spandex , Imported , Hook and Eye closure , Hand Wash , Strapless lace underwire bra and Smooth, flat, brushed lace , Silicone along neckline keeps the bra in place , Separate fully adjustable straps ]","32B , 32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD","32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD",Naturally Nude
Calvin Klein Women's Modern Cotton Boyshort Panty,$22.00 ,$19.49 ,https://www.amazon.com/-/dp/B01LYOFM5K?th=1&psc=1,Calvin-Klein,Panties,Amazon US,A Calvin Klein modern cotton boy short in soft cotton for breathable comfort and a comfortable waistband featuring the iconic Calvin Klein logo.,4.4,399,"[ 53% Cotton, 35% Modal, 12% Elastane , Imported , Machine Wash , Repeating Calvin Klein logo waistband , Cotton gusset , Soft and comfortable cotton boyshort , Tag less , Soft, stretch cotton ]","X-Small , Small , Medium , Large , X-Large","Small , Large , X-Large",White/Bright Nectar
